HHS Region,Year,Week,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths,Percent of Deaths Due to Pneumonia and Influenza,,Number of Pneumonia and Influenza Deaths,,,,,Percent of Deaths Due to Pneumonia and Influenza,All Deaths,Number of Pneumonia and Influenza Deaths
1,2010,40,8.28,2233,185,7.19,3962,285,6.2,4964,308,6.42,10270,659,7.57,8533,646,6.36,5406,344,6.76,2454,166,7.85,1402,110,7.79,5637,439,7.1,1775,126,,,,,7.007462046,46636,3268
1,2010,41,8.82,2301,203,8.4,4179,351,7.2,5124,369,6.74,10104,681,7.13,8445,602,7.5,5371,403,7.88,2321,183,8.4,1357,114,7.8,5669,442,7.16,1746,125,,,,,7.450071862,46617,3473
1,2010,42,7.98,2355,188,8.37,4230,354,7,5075,355,6.57,10314,678,7.4,8594,636,6.64,5391,358,6.92,2412,167,6.83,1318,90,8.26,5591,462,7.89,1862,147,,,,,7.286496118,47142,3435
1,2010,43,7.49,2390,179,8.2,4267,350,7.34,4962,364,6.97,9930,692,7.78,8314,647,7.29,5309,387,7.34,2316,170,7.7,1416,109,8.06,5781,466,7.44,1935,144,,,,,7.524667525,46620,3508
1,2010,44,9.34,2312,216,7.54,4167,314,6.9,5088,351,6.31,10303,650,7.99,8558,684,7.09,5476,388,7.47,2410,180,7.16,1410,101,8.42,5876,495,6.93,1890,131,,,,,7.39102969,47490,3510
1,2010,45,7.67,2333,179,8.22,4305,354,7.08,5112,362,6.99,10616,742,7.35,8761,644,7.53,5655,426,8.31,2468,205,7.04,1420,100,8.07,5994,484,6.74,1810,122,,,,,7.463795024,48474,3618
1,2010,46,8.01,2336,187,7.97,4264,340,6.63,5038,334,7.01,10477,734,7.5,8571,643,7.41,5739,425,7.01,2369,166,6.35,1434,91,8.3,6153,511,7.04,1805,127,,,,,7.383887436,48186,3558
1,2010,47,8.77,2371,208,8.03,4286,344,6.79,4951,336,6.84,10428,713,6.96,8444,588,7.93,5637,447,7.55,2304,174,7.59,1437,109,9.23,6002,554,7.84,1952,153,,,,,7.583870158,47812,3626
1,2010,48,10,2311,231,7.66,4201,322,7.53,5246,395,7.54,10349,780,7.37,8851,652,7.76,5762,447,7.58,2492,189,7.7,1480,114,9.32,6344,591,7.92,1918,152,,,,,7.911508763,48954,3873
1,2010,49,8.71,2365,206,8.66,4411,382,7.07,5303,375,6.76,11112,751,7.8,8961,699,7.73,5900,456,7.74,2533,196,7.59,1409,107,8.52,6432,548,6.76,1939,131,,,,,7.646182865,50365,3851
1,2010,50,8.27,2492,206,7.77,4506,350,7.03,5446,383,7.61,11619,884,8.21,9145,751,7.92,5934,470,7.03,2633,185,6.81,1454,99,9.41,6187,582,7.58,1874,142,,,,,7.900175473,51290,4052
1,2010,51,8.6,2476,213,8.54,4484,383,8.01,5470,438,7.16,11408,817,7.98,9035,721,8.31,5947,494,9.03,2504,226,7.6,1486,113,9.25,6196,573,7.65,1922,147,,,,,8.099670123,50928,4125
1,2010,52,9.28,2585,240,9.09,4948,450,8.13,5632,458,7.8,11904,928,8.45,9268,783,9.03,6091,550,9.03,2580,233,9.48,1550,147,10.66,6324,674,7.69,1925,148,,,,,8.731796921,52807,4611
1,2011,1,10.53,2650,279,10.53,5005,527,8.08,5667,458,8.65,12050,1042,8.74,9297,813,9.37,6214,582,9.19,2590,238,6.69,1540,103,10.16,6632,674,7.85,1963,154,,,,,9.084465005,53608,4870
1,2011,2,10.53,2698,284,9.68,4937,478,8.46,5521,467,8.72,11657,1016,8.53,9259,790,9.17,6007,551,8.74,2609,228,8.24,1468,121,10.39,6759,702,7.96,1935,154,,,,,9.065279092,52850,4791
1,2011,3,10.7,2683,287,10.28,4814,495,7.37,5754,424,8.45,11628,983,8.77,9018,791,9.98,6155,614,9.28,2629,244,8.33,1453,121,10.53,6507,685,7.06,1956,138,,,,,9.091773295,52597,4782
1,2011,4,10.74,2541,273,10.86,4880,530,8.81,5698,502,8.49,11519,978,9.01,9210,830,9.61,6172,593,9.03,2580,233,8.42,1473,124,10.67,6457,689,8.1,1925,156,,,,,9.356591364,52455,4908
1,2011,5,11.35,2599,295,10.5,4637,487,8.8,5695,501,8.58,11435,981,8.34,9341,779,9.59,6045,580,8.67,2503,217,7.67,1486,114,10.65,6598,703,8.27,1862,154,,,,,9.216298538,52201,4811
1,2011,6,10.8,2603,281,8.86,4661,413,8.68,5623,488,8.45,11483,970,9.19,9384,862,10.09,6454,651,9.18,2637,242,8.34,1450,121,10.83,6609,716,7.96,2023,161,,,,,9.267481626,52927,4905
1,2011,7,10.12,2736,277,9.81,4698,461,9.22,5784,533,8.79,11528,1013,9.07,9382,851,10.66,6532,696,10.15,2620,266,8.82,1530,135,11.29,6742,761,8.42,2008,169,,,,,9.637789395,53560,5162
1,2011,8,10.53,2620,276,10.06,4640,467,9.9,5757,570,8.99,11306,1016,9.49,9181,871,9.99,6128,612,10.7,2505,268,9.49,1507,143,11.25,6762,761,9.91,2038,202,,,,,9.888643124,52444,5186
1,2011,9,10.39,2637,274,8.82,4580,404,9.3,5602,521,8.64,11220,969,9.93,9171,911,9.28,6046,561,10.43,2617,273,9.52,1533,146,10.96,6878,754,9.32,2059,192,,,,,9.561928052,52343,5005
1,2011,10,12.21,2597,317,9.29,4523,420,9.46,5679,537,8.06,10981,885,8.92,9267,827,9.14,5962,545,9.58,2588,248,10.65,1502,160,11.24,6753,759,9.81,1978,194,,,,,9.438549103,51830,4892
1,2011,11,10.14,2514,255,8.88,4379,389,8.81,5559,490,7.99,10963,876,9.52,9096,866,8.46,5838,494,9.56,2585,247,8.99,1480,133,10.93,6430,703,9.68,2015,195,,,,,9.138992115,50859,4648
1,2011,12,10.53,2450,258,8.84,4301,380,8.69,5372,467,7.38,10676,788,9.62,8937,860,8.3,5686,472,9.3,2484,231,8.27,1499,124,10.7,6353,680,8.18,2116,173,,,,,8.888398765,49874,4433
1,2011,13,10.62,2457,261,9.25,4391,406,8.93,5297,473,7.55,10365,783,8.2,8946,734,8.26,5523,456,8.79,2434,214,6.97,1493,104,9.98,6652,664,8.94,1946,174,,,,,8.623545572,49504,4269
1,2011,14,10.49,2459,258,8.89,4366,388,7.53,5216,393,6.81,10713,730,8.56,8999,770,8.15,5719,466,8.43,2514,212,7.28,1538,112,10.05,6328,636,8.72,2008,175,,,,,8.303249097,49860,4140
1,2011,15,9.81,2425,238,9.14,4267,390,7.62,5091,388,6.97,10218,712,8.64,8799,760,7.82,5536,433,8.14,2359,192,8.71,1412,123,9.56,6265,599,8.98,1970,177,,,,,8.299201522,48342,4012
1,2011,16,9.76,2378,232,8.19,4152,340,7.3,4999,365,7.13,10368,739,8.8,8684,764,7.76,5641,438,7.98,2380,190,9.03,1418,128,9.4,6073,571,8.36,1926,161,,,,,8.180095379,48019,3928
1,2011,17,9.18,2277,209,8.49,4132,351,7.49,4872,365,6.58,10573,696,8.13,8541,694,7.76,5411,420,8.61,2393,206,7.59,1423,108,8.79,6073,534,6.64,1897,126,,,,,7.79332661,47592,3709
1,2011,18,8.41,2247,189,8.42,3990,336,8.03,4909,394,7.13,10389,741,8.65,8593,743,7.24,5527,400,7.31,2311,169,7.18,1477,106,9.09,6064,551,7.12,1938,138,,,,,7.939719675,47445,3767
